6.00,2.20,4.00,1.00,1.00
5.50,4.20,1.40,0.20,0.00
5.00,3.40,1.50,0.20,0.00
5.00,3.50,1.30,0.30,0.00
6.70,3.10,4.70,1.50,1.00
6.80,2.80,4.80,1.40,1.00
6.10,2.80,4.00,1.30,1.00
6.40,3.20,4.50,1.50,1.00
6.10,2.80,4.70,1.20,1.00
6.50,2.80,4.60,1.50,1.00
6.10,2.90,4.70,1.40,1.00
4.90,3.60,1.40,0.10,0.00
6.00,2.90,4.50,1.50,1.00
5.50,2.60,4.40,1.20,1.00
4.80,3.00,1.40,0.30,0.00
5.40,3.90,1.30,0.40,0.00
5.60,3.00,4.50,1.50,1.00
4.80,3.40,1.90,0.20,0.00
4.40,2.90,1.40,0.20,0.00
4.60,3.60,1.00,0.20,0.00
5.10,3.80,1.90,0.40,0.00
6.20,2.90,4.30,1.30,1.00
5.00,2.30,3.30,1.00,1.00
5.00,3.40,1.60,0.40,0.00
5.40,3.00,4.50,1.50,1.00
5.20,3.50,1.50,0.20,0.00
5.20,2.70,3.90,1.40,1.00
5.70,3.80,1.70,0.30,0.00
6.00,2.70,5.10,1.60,1.00
5.90,3.00,4.20,1.50,1.00
5.80,2.60,4.00,1.20,1.00
4.70,3.20,1.30,0.20,0.00
5.00,3.50,1.60,0.60,0.00
5.40,3.70,1.50,0.20,0.00
5.00,2.00,3.50,1.00,1.00
5.60,2.50,3.90,1.10,1.00
6.30,3.30,4.70,1.60,1.00
5.50,2.40,3.80,1.10,1.00
7.00,3.20,4.70,1.40,1.00
6.00,3.40,4.50,1.60,1.00
4.80,3.10,1.60,0.20,0.00
5.60,2.70,4.20,1.30,1.00
5.60,2.90,3.60,1.30,1.00
5.50,2.50,4.00,1.30,1.00
6.10,3.00,4.60,1.40,1.00
5.30,3.70,1.50,0.20,0.00
4.30,3.00,1.10,0.10,0.00
5.70,3.00,4.20,1.20,1.00
5.40,3.40,1.70,0.20,0.00
5.70,4.40,1.50,0.40,0.00
6.90,3.10,4.90,1.50,1.00
4.60,3.10,1.50,0.20,0.00
5.10,2.50,3.00,1.10,1.00
4.60,3.40,1.40,0.30,0.00
6.20,2.20,4.50,1.50,1.00
5.70,2.90,4.20,1.30,1.00
4.80,3.00,1.40,0.10,0.00
5.10,3.80,1.60,0.20,0.00
4.80,3.40,1.60,0.20,0.00
4.50,2.30,1.30,0.30,0.00
4.90,3.00,1.40,0.20,0.00
4.40,3.20,1.30,0.20,0.00
5.00,3.60,1.40,0.20,0.00
5.10,3.50,1.40,0.30,0.00
4.40,3.00,1.30,0.20,0.00
5.40,3.90,1.70,0.40,0.00
5.50,2.30,4.00,1.30,1.00
5.10,3.50,1.40,0.20,0.00
4.90,3.10,1.50,0.20,0.00
5.20,3.40,1.40,0.20,0.00
5.70,2.80,4.50,1.30,1.00
6.60,3.00,4.40,1.40,1.00
5.00,3.20,1.20,0.20,0.00
5.10,3.30,1.70,0.50,0.00
6.40,2.90,4.30,1.30,1.00
5.40,3.40,1.50,0.40,0.00
4.90,2.40,3.30,1.00,1.00
6.70,3.10,4.40,1.40,1.00
5.20,4.10,1.50,0.10,0.00
5.80,4.00,1.20,0.20,0.00
5.10,3.80,1.50,0.30,0.00
4.70,3.20,1.60,0.20,0.00
5.00,3.30,1.40,0.20,0.00
5.70,2.80,4.10,1.30,1.00
5.80,2.70,3.90,1.20,1.00
5.70,2.60,3.50,1.00,1.00
6.30,2.50,4.90,1.50,1.00
6.70,3.00,5.00,1.70,1.00
5.00,3.00,1.60,0.20,0.00
5.50,2.40,3.70,1.00,1.00
5.10,3.40,1.50,0.20,0.00
6.60,2.90,4.60,1.30,1.00
5.60,3.00,4.10,1.30,1.00
5.90,3.20,4.80,1.80,1.00
6.30,2.30,4.40,1.30,1.00
5.50,3.50,1.30,0.20,0.00
5.10,3.70,1.50,0.40,0.00
4.90,3.10,1.50,0.10,0.00
5.80,2.70,4.10,1.00,1.00
4.60,3.20,1.40,0.20,0.00
